"Source:","/home/sk/fg/TDA 2030/TDA 2030.kicad_sch"
"Date:","Fri 24 Feb 2023 13:23:27 +0530"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","17"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1uF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C2","10uF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C3","2200uF","Device:C_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"","","C4","2200uF","Device:C_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"","","C5","0.1UF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C6","0.22uF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","D1","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","D2","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","~"
"","","J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","~"
"","","R1","1.2K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"","","R2","47K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"","","R3","1.2K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"","","R4","47K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"","","R5","1R","Device:R_Small_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"","","RV1","50K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_T-16H_Single_Horizontal","~"
"","","U1","TDA2030","Amplifier_Audio:TDA2030","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.st.com/resource/en/datasheet/cd00000128.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","1uF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"2","1","C2","10uF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"3","2","C3, C4","2200uF","Device:C_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"4","1","C5","0.1UF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"5","1","C6","0.22uF","Device:C_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"6","2","D1, D2","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"7","2","J1, J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal","~"
"8","2","R1, R3","1.2K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"9","2","R2, R4","47K","Device:R_Small_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"10","1","R5","1R","Device:R_Small_US","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"11","1","RV1","50K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_T-16H_Single_Horizontal","~"
"12","1","U1","TDA2030","Amplifier_Audio:TDA2030","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.st.com/resource/en/datasheet/cd00000128.pdf"
